Time,Throughput
3.0,0.001536
3.5,0.241408
4.0,0.648
4.5,2.808
5.0,0.528
5.5,17.952
6.0,40.152
6.5,35.496
7.0,30.984
7.5,4.608
8.0,1.464
8.5,3.888
9.0,3.96
9.5,0.624
10.0,3.768
10.5,2.88
11.0,3.24
11.5,5.184
12.0,5.952
12.5,4.896
13.0,7.824
13.5,6.144
14.0,8.832
14.5,9.312
15.0,4.368
15.5,6.768
16.0,4.368
16.5,5.136
17.0,1.296
17.5,1.344
18.0,7.968
18.5,9.072
19.0,2.592
19.5,10.704
20.0,10.992
20.5,6.192
21.0,9.36
21.5,9.888
22.0,8.496
22.5,2.496
23.0,6.72
23.5,1.824
24.0,1.272
24.5,1.824
25.0,2.4
25.5,5.28
26.0,3.552
26.5,2.832
27.0,4.224
27.5,6.144
28.0,1.584
28.5,3.984
29.0,1.104
29.5,4.56
30.0,2.304
30.5,5.52
31.0,6.144
31.5,6.816
32.0,5.136
32.5,4.416
33.0,5.808
33.5,4.464
34.0,0.768
34.5,2.016
35.0,3.504
35.5,2.496
36.0,0.0
36.5,2.736
37.0,6.336
37.5,6.48
38.0,8.16
38.5,7.776
39.0,6.528
39.5,2.256
40.0,6.24
40.5,4.416
41.0,5.904
41.5,5.616
42.0,0.552
42.5,2.232
43.0,1.92
43.5,0.336
44.0,0.864
44.5,4.464
45.0,4.8
45.5,0.384
46.0,0.624
46.5,2.496
47.0,0.0
47.5,1.392
48.0,1.632
48.5,1.824
49.0,1.728
49.5,6.576
50.0,4.944
50.5,1.68
51.0,0.72
51.5,5.28
52.0,0.264
52.5,5.4
53.0,6.384
53.5,5.424
54.0,1.68
54.5,0.96
55.0,0.096
55.5,0.816
56.0,2.832
56.5,4.368
57.0,3.216
57.5,1.728
58.0,5.904
58.5,7.824
59.0,4.848
59.5,1.656
60.0,0.816
60.5,1.56
61.0,2.64
61.5,1.68
62.0,3.552
62.5,4.32
63.0,2.304
